group,member_url
Khi Tôi 18 - Trường THPT Đặng Trần Côn ,https://facebook.com/tuitentrung9504
Khi Tôi 18 - Trường THPT Đặng Trần Côn ,https://facebook.com/tuitenhuy.28
HBT Confessions ,https://facebook.com/tuine.tada
Đoàn trường THPT Thuận An ,https://facebook.com/tuilatrmy
CLB Âm Nhạc HBT ,https://facebook.com/tuilaDD
Đoàn Trường THPT Nguyễn Huệ - Huế ,https://facebook.com/tuilabaotranok
"CLB Kỹ Năng - Xã Hội, Trường THPT Chuyên Quốc Học - Huế ",https://facebook.com/tuenhien.truong.7
Vi Vu Quốc Học ,https://facebook.com/tuenguyen.phanngoc
Thừa Lưu - Những điều chưa nói ,https://facebook.com/tudoi1998
Đoàn TNCS HCM trường PT DTNT Tỉnh Thừa Thiên Huế ,https://facebook.com/tubede25
Trường THPT Tố Hữu ,https://facebook.com/tuanvu1410
CLB Kỹ năng Thanh niên trường THPT Hà Trung ,https://facebook.com/tuantran.hung.750
Thư Viện Trường THPT Tố Hữu ,https://facebook.com/tuanthien.nguyen
Đoàn Trường THPT Nguyễn Huệ - Huế ,https://facebook.com/tuanth.le.397
QH Wolves - CLB Bóng Đá Quốc Học Huế ,https://facebook.com/tuantam0508
CLB Kỹ năng Thanh niên trường THPT Hà Trung ,https://facebook.com/tuans.thiens.1
Đoàn trường Đặng Trần Côn ,https://facebook.com/tuann.nguyenn.967
Đoàn Trường THPT Chuyên Khoa học Huế ,https://facebook.com/tuanminh.hoangnguyen
Evergreen - CLB QUỐC HỌC XANH ,https://facebook.com/tuankhang.vu.9026
HBT Confessions ,https://facebook.com/tuankhang.nguyen.524934
Đoàn Trường THPT Tam Giang ,https://facebook.com/tuanh.phamthi.3
Cheetah Volleyball - CLB Bóng Chuyền Quốc Học ,https://facebook.com/tuandungggg
An Lương Đông Football Club ,https://facebook.com/tuanbryy
Đoàn TNCS Hồ Chí Minh trường THPT Bùi Thị Xuân - Huế ,https://facebook.com/TuanAnh.Meo610
Evergreen - CLB QUỐC HỌC XANH ,https://facebook.com/tuananh.luongbao.7
